epoch,step,train_loss,val_loss
0,118,,0.10437295585870743
0,118,0.12020457535982132,
1,237,,0.11016219109296799
1,237,0.09989487379789352,
2,356,,0.10196180641651154
2,356,0.09833542257547379,
3,475,,0.10189012438058853
3,475,0.09762661904096603,
4,594,,0.10381818562746048
4,594,0.09787455201148987,
5,713,,0.10118302702903748
5,713,0.09718354791402817,
6,832,,0.10399406403303146
6,832,0.09814493358135223,
7,951,,0.10141514986753464
7,951,0.09735927730798721,
8,1070,,0.10853166878223419
8,1070,0.09695354104042053,
9,1189,,0.10246632993221283
9,1189,0.09608539193868637,
10,1308,,0.1017870083451271
10,1308,0.09610383212566376,
11,1427,,0.10185188055038452
11,1427,0.09628864377737045,
12,1546,,0.1013181284070015
12,1546,0.09555813670158386,
13,1665,,0.10189560055732727
13,1665,0.09429298341274261,
14,1784,,0.10136862844228745
14,1784,0.09446635097265244,
15,1903,,0.10230489075183868
15,1903,0.09510540217161179,
16,2022,,0.10879707336425781
16,2022,0.0947943702340126,
17,2141,,0.10570839792490005
17,2141,0.09543941915035248,
18,2260,,0.10382165014743805
18,2260,0.09444789588451385,
19,2379,,0.10068369656801224
19,2379,0.09445375949144363,
20,2498,,0.10128369927406311
20,2498,0.09388376772403717,
21,2617,,0.10102491825819016
21,2617,0.09351646155118942,
22,2736,,0.10327934473752975
22,2736,0.09423128515481949,
23,2855,,0.1027258038520813
23,2855,0.09279022365808487,
24,2974,,0.10337118804454803
24,2974,0.0933670848608017,
25,3093,,0.10425877571105957
25,3093,0.09198487550020218,
26,3212,,0.10445558279752731
26,3212,0.09199116379022598,
27,3331,,0.10151457041501999
27,3331,0.09206780791282654,
28,3450,,0.10522619634866714
28,3450,0.09288275986909866,
29,3569,,0.10694462060928345
29,3569,0.09173405915498734,
30,3688,,0.10764702409505844
30,3688,0.09253308922052383,
31,3807,,0.11174315214157104
31,3807,0.10120771080255508,
32,3926,,0.10281970351934433
32,3926,0.09602338820695877,
33,4045,,0.10254576802253723
33,4045,0.09308428317308426,
34,4164,,0.10295051336288452
34,4164,0.09285558760166168,
35,4283,,0.10490169376134872
35,4283,0.09258103370666504,
36,4402,,0.10354968160390854
36,4402,0.09237315505743027,
37,4521,,0.10233978927135468
37,4521,0.09287083148956299,
38,4640,,0.10419271141290665
38,4640,0.09317617118358612,
39,4759,,0.10658638924360275
39,4759,0.09237708896398544,
