epoch,step,train_loss,val_loss
0,235,,0.10567473620176315
0,235,0.11737654358148575,
1,471,,0.10394949465990067
1,471,0.09980278462171555,
2,707,,0.10164228081703186
2,707,0.09984622895717621,
3,943,,0.1017814576625824
3,943,0.09917842596769333,
4,1179,,0.10182025283575058
4,1179,0.09872731566429138,
5,1415,,0.10179878026247025
5,1415,0.09630673378705978,
6,1651,,0.09978236258029938
6,1651,0.09517063200473785,
7,1887,,0.10131530463695526
7,1887,0.09482807666063309,
8,2123,,0.100754015147686
8,2123,0.09543813765048981,
9,2359,,0.10041183233261108
9,2359,0.09437277913093567,
10,2595,,0.10149078071117401
10,2595,0.09684554487466812,
11,2831,,0.10028809309005737
11,2831,0.09492134302854538,
12,3067,,0.1094839945435524
12,3067,0.09392645210027695,
13,3303,,0.09866341203451157
13,3303,0.0935421884059906,
14,3539,,0.09978131949901581
14,3539,0.09341992437839508,
15,3775,,0.10286904871463776
15,3775,0.09276161342859268,
16,4011,,0.10460090637207031
16,4011,0.09259366989135742,
17,4247,,0.10004554688930511
17,4247,0.09359756112098694,
18,4483,,0.1011262908577919
18,4483,0.09223983436822891,
19,4719,,0.09935769438743591
19,4719,0.09250256419181824,
20,4955,,0.09861526638269424
20,4955,0.09170351922512054,
21,5191,,0.10462029278278351
21,5191,0.09362006932497025,
22,5427,,0.09857376664876938
22,5427,0.0930241197347641,
23,5663,,0.10130485892295837
23,5663,0.09245544672012329,
24,5899,,0.10368715971708298
24,5899,0.09471433609724045,
25,6135,,0.1035778671503067
25,6135,0.09249795973300934,
26,6371,,0.1010681614279747
26,6371,0.09350153803825378,
27,6607,,0.10016798228025436
27,6607,0.09266147762537003,
28,6843,,0.11184661835432053
28,6843,0.11613432317972183,
29,7079,,0.10302963852882385
29,7079,0.10305827856063843,
30,7315,,0.1027798131108284
30,7315,0.10235477238893509,
31,7551,,0.10297741740942001
31,7551,0.10211782902479172,
32,7787,,0.13324029743671417
32,7787,0.10215874016284943,
33,8023,,0.10102658718824387
33,8023,0.09939000755548477,
34,8259,,0.09899430721998215
34,8259,0.09804520756006241,
35,8495,,0.10444282740354538
35,8495,0.09747092425823212,
36,8731,,0.10260669887065887
36,8731,0.09636290371417999,
37,8967,,0.10156895965337753
37,8967,0.09863249212503433,
38,9203,,0.10030153393745422
38,9203,0.09629706293344498,
39,9439,,0.10970200598239899
39,9439,0.10076763480901718,
40,9675,,0.10997355729341507
40,9675,0.10004909336566925,
41,9911,,0.10349395871162415
41,9911,0.09895855188369751,
42,10147,,0.1014847606420517
42,10147,0.09678345173597336,
