epoch,step,train_loss,val_loss
0,236,,0.11123067885637283
0,236,0.11381620913743973,
1,473,,0.10246308892965317
1,473,0.10010965168476105,
2,710,,0.10654202103614807
2,710,0.09919477254152298,
3,947,,0.10332922637462616
3,947,0.09873924404382706,
4,1184,,0.10453160107135773
4,1184,0.09999917447566986,
5,1421,,0.11128373444080353
5,1421,0.09860879927873611,
6,1658,,0.10182581841945648
6,1658,0.09826623648405075,
7,1895,,0.1091712936758995
7,1895,0.09832002967596054,
8,2132,,0.10077465325593948
8,2132,0.09748564660549164,
9,2369,,0.10270901769399643
9,2369,0.0963146910071373,
10,2606,,0.11001494526863098
10,2606,0.09730000793933868,
11,2843,,0.10165172070264816
11,2843,0.09673763811588287,
12,3080,,0.10152952373027802
12,3080,0.09573505818843842,
13,3317,,0.10076110064983368
13,3317,0.09535757452249527,
14,3554,,0.1021646186709404
14,3554,0.096086785197258,
15,3791,,0.10352955013513565
15,3791,0.09439384192228317,
16,4028,,0.10467392206192017
16,4028,0.09687220305204391,
17,4265,,0.10107024759054184
17,4265,0.09614183753728867,
18,4502,,0.10276909172534943
18,4502,0.09443097561597824,
19,4739,,0.10237029194831848
19,4739,0.0955846756696701,
20,4976,,0.10242824256420135
20,4976,0.09432481229305267,
21,5213,,0.10338233411312103
21,5213,0.09735961258411407,
22,5450,,0.10512147098779678
22,5450,0.09418663382530212,
23,5687,,0.10491576790809631
23,5687,0.09421530365943909,
24,5924,,0.10105136781930923
24,5924,0.09377750009298325,
25,6161,,0.10095851868391037
25,6161,0.0936322808265686,
26,6398,,0.1051061823964119
26,6398,0.09506557881832123,
27,6635,,0.10631154477596283
27,6635,0.10565454512834549,
28,6872,,0.11241159588098526
28,6872,0.10066837072372437,
29,7109,,0.11186563968658447
29,7109,0.09830920398235321,
30,7346,,0.10148005932569504
30,7346,0.10008687525987625,
31,7583,,0.10010960698127747
31,7583,0.09781403839588165,
32,7820,,0.10421966016292572
32,7820,0.09775427728891373,
33,8057,,0.10782985389232635
33,8057,0.09690938144922256,
34,8294,,0.10464604943990707
34,8294,0.09645125269889832,
35,8531,,0.10417591035366058
35,8531,0.09524161368608475,
36,8768,,0.10353077203035355
36,8768,0.09653044492006302,
37,9005,,0.10279003530740738
37,9005,0.09485723823308945,
38,9242,,0.10500457882881165
38,9242,0.09487143903970718,
39,9479,,0.11046416312456131
39,9479,0.09372013807296753,
40,9716,,0.1066472977399826
40,9716,0.09362441301345825,
41,9953,,0.10316330939531326
41,9953,0.0947377160191536,
42,10190,,0.10588264465332031
42,10190,0.09301088005304337,
43,10427,,0.10967206209897995
43,10427,0.0947931632399559,
44,10664,,0.12927240133285522
44,10664,0.10192567110061646,
45,10901,,0.1118757352232933
45,10901,0.10010889917612076,
46,11138,,0.1024552434682846
46,11138,0.09952131658792496,
47,11375,,0.09964612871408463
47,11375,0.09955542534589767,
48,11612,,0.10098858922719955
48,11612,0.09706690162420273,
49,11849,,0.10279566049575806
49,11849,0.09743107855319977,
50,12086,,0.11236388236284256
50,12086,0.09555945545434952,
51,12323,,0.10085674375295639
51,12323,0.09633902460336685,
52,12560,,0.1057514026761055
52,12560,0.09656323492527008,
53,12797,,0.10054745525121689
53,12797,0.09719797223806381,
54,13034,,0.10123739391565323
54,13034,0.09920870512723923,
55,13271,,0.10239102691411972
55,13271,0.09748438745737076,
56,13508,,0.1188020408153534
56,13508,0.0965002104640007,
57,13745,,0.10176637768745422
57,13745,0.10049497336149216,
58,13982,,0.10243986546993256
58,13982,0.09815934300422668,
59,14219,,0.10655885189771652
59,14219,0.09776630997657776,
60,14456,,0.10526202619075775
60,14456,0.10048172622919083,
61,14693,,0.10297443717718124
61,14693,0.09892217814922333,
62,14930,,0.10277633368968964
62,14930,0.09672677516937256,
63,15167,,0.10333281755447388
63,15167,0.09856994450092316,
64,15404,,0.10212737321853638
64,15404,0.09724808484315872,
65,15641,,0.1023033857345581
65,15641,0.09773783385753632,
66,15878,,0.10145197808742523
66,15878,0.09562954306602478,
67,16115,,0.10081049799919128
67,16115,0.09762044250965118,
