epoch,step,train_loss,val_loss
0,236,,0.10941245406866074
0,236,0.12831607460975647,
1,473,,0.10928640514612198
1,473,0.10794370621442795,
2,710,,0.11500468105077744
2,710,0.10918839275836945,
3,947,,0.1128925234079361
3,947,0.10738371312618256,
4,1184,,0.11584017425775528
4,1184,0.1096036285161972,
5,1421,,0.12558157742023468
5,1421,0.1397234946489334,
6,1658,,0.13378721475601196
6,1658,0.11962814629077911,
7,1895,,0.12747617065906525
7,1895,0.11854453384876251,
8,2132,,0.13579101860523224
8,2132,0.11672651767730713,
9,2369,,0.12049289047718048
9,2369,0.11607059091329575,
10,2606,,0.1269761323928833
10,2606,0.1115109771490097,
11,2843,,0.12182918936014175
11,2843,0.11211922019720078,
12,3080,,0.10883330553770065
12,3080,0.10790031403303146,
13,3317,,0.12672339379787445
13,3317,0.10848420858383179,
14,3554,,0.12800532579421997
14,3554,0.11077474802732468,
15,3791,,0.10735750943422318
15,3791,0.11147551238536835,
16,4028,,0.1059211939573288
16,4028,0.10580698400735855,
17,4265,,0.11308947205543518
17,4265,0.10993532091379166,
18,4502,,0.10595966875553131
18,4502,0.10595802217721939,
19,4739,,0.1308634877204895
19,4739,0.10705183446407318,
20,4976,,0.10613057762384415
20,4976,0.1090061143040657,
21,5213,,0.10755381733179092
21,5213,0.10428211838006973,
22,5450,,0.1256350427865982
22,5450,0.1084989458322525,
23,5687,,0.11809029430150986
23,5687,0.1068066880106926,
24,5924,,0.12367270141839981
24,5924,0.11121014505624771,
25,6161,,0.13941256701946259
25,6161,0.10890984535217285,
26,6398,,0.10702550411224365
26,6398,0.1071118488907814,
27,6635,,0.1652761846780777
27,6635,0.10523679107427597,
28,6872,,0.10852709412574768
28,6872,0.11100703477859497,
29,7109,,0.1081526130437851
29,7109,0.10994157195091248,
30,7346,,0.12274020165205002
30,7346,0.1071506142616272,
31,7583,,0.11071784049272537
31,7583,0.11138337105512619,
32,7820,,0.129084974527359
32,7820,0.11030320823192596,
33,8057,,0.11244863271713257
33,8057,0.10723204165697098,
34,8294,,0.10960187762975693
34,8294,0.10805127024650574,
35,8531,,0.10898534208536148
35,8531,0.10557322949171066,
36,8768,,0.13779331743717194
36,8768,0.11415808647871017,
